"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"LM13700MX/NOPB","Texas Instruments","LM13700MX/NOPBCT-ND","","","Cut Tape (CT)","Active","1","1.20000","$1.20","16763","8 Weeks","IC OPAMP TRANSCOND 2MHZ 16SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"TL072CDT","STMicroelectronics","497-2200-1-ND","","","Cut Tape (CT)","Active","2","0.44000","$0.88","24584","10 Weeks","IC OPAMP JFET 4MHZ 8SO","RoHS Compliant","Lead free","Not Available",""
"OP275GSZ-REEL7","Analog Devices Inc.","OP275GSZ-REEL7CT-ND","","","Cut Tape (CT)","Active","1","2.70000","$2.70","16413","26 Weeks","IC OPAMP AUDIO 9MHZ 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"SSM2212RZ-R7","Analog Devices Inc.","SSM2212RZ-R7CT-ND","","","Cut Tape (CT)","Active","1","7.70000","$7.70","5737","14 Weeks","TRANS 2NPN 40V 0.02A 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"TL071CDR","Texas Instruments","296-14994-1-ND","","","Cut Tape (CT)","Active","1","0.47000","$0.47","8028","6 Weeks","IC OPAMP JFET 3MHZ 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"PN4391 TRE","Central Semiconductor Corp","PN4391TRE-CT-ND","","","Cut Tape (CT)","Active","1","0.92000","$0.92","3999","Not Available","JFET N-CH 40V 0.625W TO92","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"PV36W104C01B00","Bourns Inc.","490-2876-ND","","","Tube","Active","3","1.50000","$4.50","10438","8 Weeks","TRIMMER 100K OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"PV36W103C01B00","Bourns Inc.","490-2875-ND","","","Bulk","Active","2","1.50000","$3.00","18570","8 Weeks","TRIMMER 10K OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"PV36W101C01B00","Bourns Inc.","490-2873-ND","","","Tube","Active","1","1.50000","$1.50","2063","8 Weeks","TRIMMER 100 OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"PV36W105C01B00","Bourns Inc.","490-2877-ND","","","Tube","Active","1","1.50000","$1.50","1777","8 Weeks","TRIMMER 1M OHM 0.5W PC PIN TOP","RoHS Compliant","Lead free","REACH Unaffected",""
"302-S101","On Shore Technology Inc.","ED1543-ND","","","Bulk","Active","1","0.29000","$0.29","116674","12 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
